#OG_name	Apoc_proteins.faa	Nvec_proteins.faa	Ahya_proteins.faa
OG_907	1	0	7
OG_908	6	5	9
OG_909	2	0	7
OG_910	14	7	7
OG_911	8	0	3
OG_912	3	0	14
OG_913	7	1	13
OG_914	9	0	10
OG_915	1	3	5
OG_916	13	6	14
OG_917	4	0	6
OG_918	1	0	6
OG_919	2	0	6
OG_920	3	1	9
OG_921	10	5	8
OG_922	3	0	25
OG_923	10	1	14
OG_924	6	1	10
OG_925	2	2	5
OG_926	8	0	8
OG_927	11	3	4
OG_928	3	1	17
OG_929	34	1	16
OG_930	21	1	7
OG_931	2	4	6
OG_932	14	1	7
OG_933	4	0	3
OG_934	1	0	11
OG_935	1	0	3
OG_936	5	11	21
OG_937	2	0	9
OG_938	13	6	19
OG_939	15	9	14
OG_940	10	0	5
OG_941	3	0	2
OG_942	0	10	5
OG_943	9	1	12
OG_944	3	0	11
OG_945	12	0	3
OG_946	3	0	2
OG_947	6	2	5
OG_948	6	1	7
OG_949	1	0	16
OG_950	7	1	5
OG_951	11	1	21
OG_952	1	1	5
OG_953	1	0	6
OG_954	3	0	11
OG_955	5	0	3
OG_956	17	16	12
OG_957	8	0	8
OG_958	7	0	5
OG_959	1	0	9
OG_960	4	0	9
OG_961	4	1	6
OG_962	2	0	6
OG_963	1	24	8
OG_964	10	7	3
OG_965	6	7	3
OG_966	10	4	4
OG_967	27	0	8
OG_968	6	1	0
OG_969	6	2	0
OG_970	19	0	10
OG_971	7	1	7
OG_972	7	11	11
OG_973	19	2	6
OG_974	7	0	1
OG_975	14	0	3
OG_976	10	3	0
OG_977	11	8	8
OG_978	17	3	19
OG_979	14	13	10
OG_980	16	3	4
OG_981	8	0	1
OG_982	10	3	1
OG_983	7	0	10
OG_984	15	25	10
OG_985	6	0	7
OG_986	20	7	4
OG_987	7	3	1
OG_988	5	0	1
OG_989	6	0	1
OG_990	13	0	6
OG_991	5	11	3
OG_992	2	1	5
OG_993	5	7	5
OG_994	5	0	2
OG_995	4	0	5
OG_996	17	1	2
OG_997	7	0	2
OG_998	16	12	7
OG_999	8	1	1
OG_1000	8	4	5
OG_1001	3	3	19
OG_1002	3	11	6
OG_1003	19	1	1
OG_1004	6	2	1
OG_1005	4	4	7
OG_1006	10	3	1
OG_1007	1	10	4
OG_1008	5	1	2
OG_1009	11	8	2
OG_1010	6	2	1
OG_1011	0	8	1
OG_1012	4	0	5
OG_1013	7	1	6
OG_1014	3	1	19
OG_1015	36	0	9
OG_1016	9	5	13
OG_1017	8	7	6
OG_1018	0	4	18
OG_1019	8	0	2
OG_1020	12	19	7
OG_1021	4	4	9
OG_1022	11	1	5
OG_1023	6	3	2
